0.1,Valor_de_Sucata_INV(7) - Grade aradora (20 a 28 discos - 26 a 28 pol)
0.1,Valor_de_Sucata_INV(8)
0.2,Valor_de_Sucata_INV(9)
0.1,Valor_de_Sucata_INV(10)
0.1,Valor_de_Sucata_INV(11)
0.1,Valor_de_Sucata_INV(12) - barracão (600 m²)
10,Vida_Util_INV(3)
10,Vida_Util_INV(4)
10,Vida_Util_INV(5)
10,Vida_Util_INV(6)
10,Vida_Util_INV(7) - Grade aradora (20 a 28 discos - 26 a 28 pol)
10,Vida_Util_INV(8)
10,Vida_Util_INV(9)
10,Vida_Util_INV(10)
10,Vida_Util_INV(11)
20,Vida_Util_INV(12)
0.05,C1 - Consumo diário nutricional
0.015,C2 - Consumo diário nutricional
0.1,C3 - Consumo diário nutricional
0.12,C4 - Consumo diário nutricional
0.5,C5 - Consumo diário nutricional
0.8,Tc6 - trava de consumo
382.47,Valor da cesta básica
0.0833,Décimo terceiro salário
0.1111,Férias
6.99,Valor da mão de obra (tratorista)
5.35,Valor da mão de obra (campeiro)
1,Número da mão de obra (tratorista)
5,Número da mão de obra (campeiro)
0.08,FGTS
0.1333,Descanso semanal remunerado
220,Horas Trabalhadas/mês
0.027,Contribuição social
380,Pecuária de ciclo curto - Peso na saída (kg) - novilha gorda (18 a 20 meses)
1.45,Pecuária de ciclo curto - Ganho diário (kg) - novilha gorda (18 a 20 meses)
0.01,Pecuária de ciclo curto - ração consumida do peso - novilha gorda (18 a 20 meses)
460,Pecuária de ciclo curto - Peso na saída (kg) - Boi gordo (18 a 20 meses) - DL
1.5,Pecuária de ciclo curto - Ganho diário (kg) - Boi gordo (18 a 20 meses) - DL
0.01,Pecuária de ciclo curto - ração consumida do peso - Boi gordo (18 a 20 meses) - DL
510,Pecuária de ciclo curto - Peso na saída (kg) - Boi gordo (21 a 28 meses)
1.6,Pecuária de ciclo curto - Ganho diário (kg) - Boi gordo (21 a 28 meses)
0.01,Pecuária de ciclo curto - ração consumida do peso - Boi gordo (21 a 28 meses)
540,Pecuária de ciclo curto - Peso na saída (kg) - Boi gordo (29 a 36 meses)
1.6,Pecuária de ciclo curto - Ganho diário (kg) - Boi gordo (29 a 36 meses)
0.01,Pecuária de ciclo curto - ração consumida do peso - Boi gordo (29 a 36 meses)
214,Dg1 Transporte interno (quantidade)
43,Dg11 Transporte interno (custo unitário)
7,Dg2 Assistência veterinária (quantidade)
2000,Dg21 Assistência veterinária (custo unitário)
12,Dg3 Despesas contabilidade (quantidade)
800,Dg31 Despesas contabilidade (custo unitário)
19286,Dg4 Energia elétrica (quantidade)
0.41,Dg41 Energia elétrica (custo unitário)
5,Preparação do Solo - Unidade - Destoca
1.2,Preparação do Solo - Unidade - Topografia
1.1,Preparação do Solo - Unidade - Terraceamento
1.1,Preparação do Solo - Unidade - Adequação de carreadores
0,Preparação do Solo - Unidade - Destruição química
0.45,Preparação do Solo - Unidade - Distribuição de calcário
0.15,Preparação do Solo - Unidade - Carregamento de calcário
85,Preparação do Solo - Preço Unitário - Destoca
10,Preparação do Solo - Preço Unitário - Topografia
87.5,Preparação do Solo - Preço Unitário - Terraceamento
71.0,Preparação do Solo - Preço Unitário - Adequação de carreadores
73.4,Preparação do Solo - Preço Unitário - Destruição química
69.6,Preparação do Solo - Preço Unitário - Distribuição de calcário
71.0,Preparação do Solo - Preço Unitário - Carregamento de calcário
2,Formação de Pasto - Unidade - Gradagem
0,Formação de Pasto - Unidade - Aração
0,Formação de Pasto - Unidade - Niveladora
0.3,Formação de Pasto - Unidade - Semeação/adubação
0.8,Formação de Pasto - Unidade - Aplicação de herbicida
18,Formação de Pasto - Unidade - Semente
2,Formação de Pasto - Unidade - Calcário dolomítico
1.6,Formação de Pasto - Unidade - Herbicida Tordon + óleo mineral
90,Formação de Pasto - Preço Unitário - Gradagem
70.5,Formação de Pasto - Preço Unitário - Aração
75,Formação de Pasto - Preço Unitário - Niveladora
50,Formação de Pasto - Preço Unitário - Semeação/adubação
73.4,Formação de Pasto - Preço Unitário - Aplicação de herbicida
8.5,Formação de Pasto - Preço Unitário - Semente
110,Formação de Pasto - Preço Unitário - Calcário dolomítico
3.1,Formação de Pasto - Preço Unitário - Fertilizante - ureia
61.8,Formação de Pasto - Preço Unitário - Herbicida Tordon + óleo mineral
10,Formação de Pasto - Vida útil da pasto (em anos)
0.35,Manutenção de Pasto - Unidade - Distribuição de calcário
0,Manutenção de Pasto - Unidade - Gradagem
0,Manutenção de Pasto - Unidade - Distribuição de fertilizante
0.6,Manutenção de Pasto - Unidade - Aplicação de herbicida
50,Manutenção de PastoBni - Unidade - Fertilizante - ureia
80,Manutenção de PastoMni - Unidade - Fertilizante - ureia
100,Manutenção de PastoAni - Unidade - Fertilizante - ureia
50,Formação de PastoBni - Unidade - Fertilizante - ureia
150,Formação de PastoMni - Unidade - Fertilizante - ureia
250,Formação de PastoAni - Unidade - Fertilizante - ureia
1,Manutenção de Pasto - Unidade - Calcario
3.6,Manutenção de Pasto - Unidade - herbicida tordon + óleo
50.1,Manutenção de Pasto - Preço Unitário - Distribuição de calcário
89.5,Manutenção de Pasto - Preço Unitário - Gradagem
46.9,Manutenção de Pasto - Preço Unitário - Distribuição de fertilizante
74.4,Manutenção de Pasto - Preço Unitário - Aplicação de herbicida
110,Manutenção de Pasto - Preço Unitário - Calcario
61.8,Manutenção de Pasto - Preço Unitário - herbicida tordon + óleo
1696,Valor da terra nua no município de exploração (R$/ha)
0.0030,Grau de utilização (GU) em %
0.4,Invest. dos sócios (% ano)
0.6,Aquisição de capital de terceiro sobre o valor do rebanho (%)
10,Total de parcelas (ano)
2,Carência para pag. passivo (ano)
0.07,Taxa de juros (a.a)
0.03,Taxa real de desconto real já expurgando a inflação
0.03,Taxa Financiamento MTIR
0.045,Taxa de inflação (a.a)
